fuelType,rating,renterTripsTaken,reviewCount,city,state,owner_id,dailyRate,make,model,type,year
ELECTRIC,4.89,56,47,Atlanta,GA,4887223,245,Tesla,Model X,suv,2016
GASOLINE,4.93,72,61,Fairburn,GA,1428350,299,BMW,i8,car,2015
GASOLINE,5,2,2,Grayson,GA,1295660,98,Mercedes-Benz,E-Class,car,2017
GASOLINE,5,12,11,Atlanta,GA,9451897,140,Land Rover,Range Rover Sport,suv,2018
GASOLINE,5,25,22,Clarkston,GA,1879749,205,Chevrolet,Corvette,car,2016
GASOLINE,4.92,37,36,Atlanta,GA,8444510,32,Ford,Fiesta,car,2017
GASOLINE,5,35,35,Atlanta,GA,1103338,300,Mercedes-Benz,AMG GT,car,2016
GASOLINE,4.94,19,18,Atlanta,GA,499566,99,Volkswagen,Arteon,car,2019
GASOLINE,4.97,41,34,Atlanta,GA,6580855,35,Ford,Fiesta,car,2015
GASOLINE,5,41,39,Atlanta,GA,10413163,135,Maserati,Ghibli,car,2015
GASOLINE,4.89,11,9,Atlanta,GA,12796797,150,BMW,X6,suv,2018
GASOLINE,4.9,14,10,Smyrna,GA,11312622,90,Mercedes-Benz,SLK-Class,car,2013
ELECTRIC,,0,0,Atlanta,GA,1523445,138,Tesla,Model 3,car,2020
GASOLINE,4.86,7,7,Atlanta,GA,15406472,150,Land Rover,Range Rover Velar,suv,2019
GASOLINE,4.91,53,45,Atlanta,GA,464263,385,Bentley,Continental GT,car,2005
GASOLINE,5,5,5,Atlanta,GA,1846481,250,Porsche,Panamera,car,2018
ELECTRIC,5,6,5,Atlanta,GA,2312511,150,Tesla,Model X,suv,2016
HYBRID,5,12,11,Snellville,GA,11258220,202,Porsche,Cayenne,suv,2017
GASOLINE,,0,0,Marietta,GA,735348,135,Porsche,718 Cayman,car,2017
ELECTRIC,5,2,2,Alpharetta,GA,11216559,151,Tesla,Model 3,car,2019
GASOLINE,4.82,71,61,Atlanta,GA,511103,110,Porsche,Cayenne,suv,2011
GASOLINE,5,6,5,Kennesaw,GA,15256714,300,Jaguar,F-TYPE,car,2016
GASOLINE,4.73,27,26,Atlanta,GA,8444510,32,Ford,Fiesta,car,2017
GASOLINE,4.96,59,54,Atlanta,GA,511103,95,Chevrolet,Camaro,car,2016
GASOLINE,5,5,4,Snellville,GA,11258220,150,Audi,TTS,car,2017
GASOLINE,5,3,1,Kennesaw,GA,1140700,60,BMW,X4,suv,2017
GASOLINE,4.85,51,48,Atlanta,GA,511103,129,Dodge,Charger,car,2017
GASOLINE,,0,0,Fairburn,GA,1278682,82,Mercedes-Benz,C-Class,car,2016
GASOLINE,,1,0,Atlanta,GA,15071013,105,GMC,Yukon,suv,2019
ELECTRIC,5,23,21,Atlanta,GA,9326905,147,Tesla,Model 3,car,2019
GASOLINE,4.85,28,26,Atlanta,GA,3792936,122,Chevrolet,Suburban,suv,2011
GASOLINE,4.74,28,23,Atlanta,GA,10250575,49,Toyota,Corolla,car,2020
GASOLINE,5,26,21,Peachtree City,GA,12096465,139,Porsche,Boxster,car,2015
ELECTRIC,4.77,17,13,Duluth,GA,6514411,149,Tesla,Model 3,car,2019
GASOLINE,4.51,51,39,Atlanta,GA,7221030,37,Mitsubishi,Mirage,car,2014
GASOLINE,5,15,9,Marietta,GA,1919268,180,Chevrolet,Corvette,car,2017
GASOLINE,4.88,47,42,Atlanta,GA,6482788,165,Porsche,Panamera,car,2016
DIESEL,5,2,1,Atlanta,GA,11454718,211,Land Rover,Range Rover,suv,2016
GASOLINE,4.87,56,47,Atlanta,GA,2052844,120,BMW,4 Series,car,2014
GASOLINE,4.92,45,40,Atlanta,GA,8752492,99,Lexus,IS 200t,car,2016
GASOLINE,5,3,2,Atlanta,GA,3792936,127,Chevrolet,Suburban,suv,2012
GASOLINE,4.86,30,28,Atlanta,GA,8444510,32,Nissan,Versa,car,2017
GASOLINE,5,14,11,Woodstock,GA,14354281,200,Maserati,Ghibli,car,2017
GASOLINE,5,27,24,Mableton,GA,217743,386,Jaguar,F-TYPE,car,2014
GASOLINE,5,6,6,Bremen,GA,15581324,94,BMW,4 Series,car,2015
GASOLINE,5,58,55,Atlanta,GA,511103,89,Dodge,Challenger,car,2019
GASOLINE,4.92,33,25,Atlanta,GA,10413163,137,Audi,A7,car,2017
GASOLINE,5,15,14,Newnan,GA,13728129,97,Ford,Mustang,car,2014
GASOLINE,5,5,3,Lithonia,GA,15031450,160,Maserati,Ghibli,car,2017
DIESEL,5,15,15,Douglasville,GA,14841812,108,Audi,Q7,suv,2015
GASOLINE,,0,0,Douglasville,GA,2530195,135,Acura,MDX,suv,2016
GASOLINE,5,10,10,Conyers,GA,15152803,128,Ford,Mustang,car,2018
ELECTRIC,5,11,8,Atlanta,GA,310752,167,Tesla,Model S,car,2015
GASOLINE,4.89,69,65,Decatur,GA,7363993,42,Hyundai,Accent,car,2017
GASOLINE,4.98,128,117,Atlanta,GA,511103,85,Dodge,Challenger,car,2018
GASOLINE,5,9,8,Atlanta,GA,6482788,130,Maserati,Ghibli,car,2015
ELECTRIC,4.89,76,70,Peachtree City,GA,1416567,115,Tesla,Model S,car,2013
GASOLINE,,0,0,Atlanta,GA,14917535,28,Kia,Rio,car,2020
GASOLINE,5,15,11,Atlanta,GA,10872556,48,Nissan,Altima,car,2018
ELECTRIC,,0,0,Mableton,GA,217743,350,Tesla,Model X,suv,2017
GASOLINE,5,6,5,Woodstock,GA,14354281,200,Mercedes-Benz,S-Class,car,2014
ELECTRIC,,0,0,Decatur,GA,270450,179,Tesla,Model 3,car,2018
GASOLINE,4.74,91,76,Atlanta,GA,10216804,48,Volkswagen,Jetta,car,2011
GASOLINE,5,2,1,Decatur,GA,15117491,64,Volkswagen,New Beetle,car,2008
GASOLINE,4.75,17,16,Atlanta,GA,6830247,172,Porsche,Cayenne,suv,2017
GASOLINE,5,5,5,Atlanta,GA,3665954,150,Chevrolet,Silverado 1500,truck,2017
ELECTRIC,4.83,25,18,Duluth,GA,8655954,149,Tesla,Model 3,car,2020
HYBRID,4.77,14,13,east point,GA,4782598,44,Kia,Optima,car,2016
GASOLINE,4.9,64,51,Atlanta,GA,6482788,120,Porsche,Macan,suv,2017
GASOLINE,5,26,22,Fairburn,GA,12029322,38,Kia,Sorento,suv,2014
GASOLINE,5,4,3,Stone Mountain,GA,5253132,82,Jeep,Wrangler,suv,2017
GASOLINE,,0,0,Atlanta,GA,4726027,112,GMC,Yukon XL,suv,2019
GASOLINE,5,17,14,Norcross,GA,5586320,149,Porsche,Boxster,car,2015
GASOLINE,5,13,11,Smyrna,GA,1740878,80,Lexus,IS,car,2020
GASOLINE,4.63,271,195,Atlanta,GA,507900,39,Nissan,Versa Note,car,2015
GASOLINE,4.86,73,63,Atlanta,GA,6482788,120,Mercedes-Benz,CLS-Class,car,2016
GASOLINE,,0,0,Atlanta,GA,8814550,87,Dodge,Charger,car,2020
GASOLINE,5,7,6,Lithia Springs,GA,9218210,35,Kia,Soul,car,2014
GASOLINE,4.78,62,49,Atlanta,GA,1426383,35,Volkswagen,Passat,car,2015
GASOLINE,4.81,139,98,Atlanta,GA,507900,51,Nissan,Altima,car,2016
GASOLINE,4.96,26,23,Atlanta,GA,6580855,40,Hyundai,Elantra,car,2019
GASOLINE,5,56,51,Atlanta,GA,511103,89,Jeep,Grand Cherokee,suv,2019
GASOLINE,5,15,13,Smyrna,GA,11312622,72,MINI,Cooper,car,2015
